
/g4b/src/GaugeController.sol
    2:1   error    Compiler version ^0.8.16 does not satisfy the ^0.5.8 semver requirement                            compiler-version
  367:13  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  368:13  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  378:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  385:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  385:37  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  385:58  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  397:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  398:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  398:31  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  401:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  404:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  405:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  407:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  408:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  413:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  414:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  417:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  425:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  426:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  427:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  428:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  443:29  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  466:51  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  472:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  479:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  479:30  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  485:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  492:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  492:39  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase

✖ 131 problems (1 error, 130 warnings)

